model,method,mode,compression,state,flops,params,pytorch_latency,pytorch_ram,pytorch_accuracy,onnx_accuracy,onnx_latency,onnx_ram
resnet18,builtin,l1_unstructured,0.1,baseline,,,13.37,428.89,,100.0,14.34,3.47
resnet18,builtin,l1_unstructured,0.1,baseline,,,13.37,440.12,100.0,100.0,14.79,3.52
resnet18,builtin,l1_unstructured,0.1,pruned,,,14.54,520.08,100.0,100.0,14.46,3.47
resnet18,builtin,l1_unstructured,0.3,baseline,,,13.45,408.23,100.0,100.0,15.14,3.48
resnet18,builtin,l1_unstructured,0.3,pruned,,,14.24,553.09,100.0,100.0,44.18,3.5
resnet18,builtin,l1_unstructured,0.5,baseline,,,21.72,450.84,100.0,100.0,64.21,2.88
resnet18,builtin,l1_unstructured,0.5,pruned,,,31.71,381.48,100.0,100.0,39.77,5.5
resnet18,builtin,l1_unstructured,0.7,baseline,,,17.68,421.86,100.0,100.0,14.53,3.5
resnet18,builtin,l1_unstructured,0.7,pruned,,,13.19,546.53,80.0,80.0,14.43,4.62
resnet18,builtin,l1_unstructured,0.9,baseline,,,38.68,225.23,100.0,100.0,39.07,3.52
resnet18,builtin,l1_unstructured,0.9,pruned,,,36.46,348.83,0.0,0.0,42.04,3.52
resnet18,builtin,ln_structured,0.1,baseline,,,21.94,407.36,100.0,100.0,36.85,3.58
resnet18,builtin,ln_structured,0.1,pruned,,,27.8,338.66,10.0,10.0,39.18,3.52
resnet18,builtin,ln_structured,0.3,baseline,,,40.62,202.72,100.0,100.0,45.55,4.66
resnet18,builtin,ln_structured,0.3,pruned,,,20.58,474.14,0.0,0.0,23.25,4.77
resnet18,builtin,ln_structured,0.5,baseline,,,14.21,452.83,100.0,100.0,16.06,3.47
resnet18,builtin,ln_structured,0.5,pruned,,,15.71,472.72,0.0,0.0,18.38,4.62
resnet18,builtin,ln_structured,0.7,baseline,,,14.98,453.31,100.0,100.0,39.71,2.3
resnet18,builtin,ln_structured,0.7,pruned,,,29.1,409.08,0.0,0.0,46.03,3.66
resnet18,builtin,ln_structured,0.9,baseline,,,21.17,436.19,100.0,100.0,37.09,4.58
resnet18,builtin,ln_structured,0.9,pruned,,,21.31,523.86,0.0,0.0,38.53,3.61
resnet18,builtin,random_structured,0.1,baseline,,,25.27,475.11,100.0,100.0,45.08,3.5
resnet18,builtin,random_structured,0.1,pruned,,,22.59,536.91,0.0,0.0,17.41,4.61
resnet18,builtin,random_structured,0.3,baseline,,,14.64,435.09,100.0,100.0,14.61,3.47
resnet18,builtin,random_structured,0.3,pruned,,,14.71,486.22,0.0,0.0,42.93,3.66
resnet18,builtin,random_structured,0.5,baseline,,,20.93,449.11,100.0,100.0,43.46,3.52
resnet18,builtin,random_structured,0.5,pruned,,,23.0,515.69,0.0,0.0,47.34,3.53
resnet18,builtin,random_structured,0.7,baseline,,,21.69,477.91,100.0,100.0,41.49,5.33
resnet18,builtin,random_structured,0.7,pruned,,,14.63,461.28,0.0,0.0,40.76,3.5
resnet18,builtin,random_structured,0.9,baseline,,,22.87,483.31,100.0,100.0,44.78,2.53
resnet18,builtin,random_structured,0.9,pruned,,,23.57,529.28,0.0,0.0,24.98,4.7
mobilenet_v2,builtin,l1_unstructured,0.1,baseline,,,26.94,425.42,,100.0,15.54,1.97
mobilenet_v2,builtin,l1_unstructured,0.1,pruned,,,42.06,308.58,,90.0,33.28,2.08
mobilenet_v2,builtin,l1_unstructured,0.3,baseline,,,35.24,347.97,,100.0,16.89,-0.91
mobilenet_v2,builtin,l1_unstructured,0.3,pruned,,,22.24,380.48,,70.0,9.5,2.08
mobilenet_v2,builtin,l1_unstructured,0.5,baseline,,,47.92,180.88,,100.0,20.62,1.94
mobilenet_v2,builtin,l1_unstructured,0.5,pruned,,,35.4,420.75,,0.0,21.87,1.95
mobilenet_v2,builtin,l1_unstructured,0.7,baseline,,,37.58,410.5,,100.0,19.9,1.97
mobilenet_v2,builtin,l1_unstructured,0.7,pruned,,,32.6,462.84,,0.0,18.42,1.98
mobilenet_v2,builtin,l1_unstructured,0.9,baseline,,,38.06,336.64,,100.0,23.95,2.08
mobilenet_v2,builtin,l1_unstructured,0.9,pruned,,,13.26,478.69,,0.0,26.24,1.95
mobilenet_v2,builtin,ln_structured,0.1,baseline,,,31.46,426.34,,100.0,22.79,1.94
mobilenet_v2,builtin,ln_structured,0.1,pruned,,,30.36,433.08,,0.0,23.36,1.95
mobilenet_v2,builtin,ln_structured,0.3,baseline,,,14.09,362.2,,100.0,9.46,2.22
mobilenet_v2,builtin,ln_structured,0.3,pruned,,,14.74,447.03,,0.0,10.28,1.97
mobilenet_v2,builtin,ln_structured,0.5,baseline,,,13.31,444.53,,100.0,9.3,1.97
mobilenet_v2,builtin,ln_structured,0.5,pruned,,,12.85,430.09,,,,
mobilenet_v2,builtin,ln_structured,0.7,baseline,,,14.49,441.91,,100.0,9.33,1.95
mobilenet_v2,builtin,ln_structured,0.7,pruned,,,14.0,447.59,,0.0,16.18,2.0
mobilenet_v2,builtin,ln_structured,0.9,baseline,,,23.91,420.25,,100.0,9.61,1.94
mobilenet_v2,builtin,ln_structured,0.9,pruned,,,14.39,448.16,,0.0,21.11,2.3
mobilenet_v2,builtin,random_structured,0.1,baseline,,,35.0,394.52,,100.0,18.73,1.97
mobilenet_v2,builtin,random_structured,0.1,pruned,,,30.33,464.2,,0.0,22.01,1.95
mobilenet_v2,builtin,random_structured,0.3,baseline,,,32.67,421.3,,100.0,20.78,1.95
mobilenet_v2,builtin,random_structured,0.3,pruned,,,30.84,403.39,,0.0,21.69,2.11
mobilenet_v2,builtin,random_structured,0.5,baseline,,,34.11,359.69,,100.0,20.45,1.97
mobilenet_v2,builtin,random_structured,0.5,pruned,,,32.29,366.64,,0.0,19.18,1.95
mobilenet_v2,builtin,random_structured,0.7,baseline,,,34.39,381.2,,100.0,28.11,1.97
mobilenet_v2,builtin,random_structured,0.7,pruned,,,30.78,468.97,,0.0,24.93,1.98
mobilenet_v2,builtin,random_structured,0.9,baseline,,,32.37,434.34,,100.0,17.57,1.95
mobilenet_v2,builtin,random_structured,0.9,pruned,,,31.94,345.58,,0.0,19.32,2.42
