model,method,compression,alpha,tau,FLOPs (G),Params (M),Latency (ms),RAM (MB)
resnet18,red,0.5,0.3,0.05,1.83 GMac,11.69 M,15.501173337300617,354.984375
resnet18,red,0.5,0.3,0.05,,,1.83 GMac,11.69 M,13.347633679707846,473.46875
resnet18,red,0.9,0.3,0.05,,,1.83 GMac,11.69 M,13.046137491861979,525.390625
resnet18,red,0.9,0.3,0.05,,,1.83 GMac,11.69 M,13.134535153706867,492.90625
resnet18,builtin,0.5,,,,,1.83 GMac,11.69 M,17.467832565307617,586.609375
resnet18,builtin,0.5,,,,,1.83 GMac,11.69 M,17.098442713419598,529.25
resnet18,builtin,0.2,,,,,1.83 GMac,11.69 M,16.907223065694176,488.0625
resnet18,builtin,0.2,,,,,1.83 GMac,11.69 M,16.29294554392497,557.078125
resnet18,builtin,0.5,,,,,ln_structured,1.83 GMac,11.69 M,18.045759201049805,558.734375
resnet18,builtin,0.5,,,,,ln_structured,1.83 GMac,11.69 M,17.314068476359047,513.265625
resnet18,builtin,0.5,,,,,ln_structured,1.83 GMac,11.69 M,16.638271013895668,503.6875,1.83 GMac,11.69 M,13.808194796244305,498.421875
resnet18,builtin,0.5,,,,,ln_structured,1.83 GMac,11.69 M,16.947468121846516,543.390625,1.83 GMac,11.69 M,12.868364651997885,536.09375
resnet18,builtin,0.5,,,,,ln_structured,1.83 GMac,11.69 M,16.7128324508667,514.6875,1.83 GMac,11.69 M,13.736708958943685,521.828125
resnet18,builtin,0.5,,,,,ln_structured,1.83 GMac,11.69 M,16.99682871500651,559.765625,1.83 GMac,11.69 M,14.335227012634277,561.609375
resnet18,builtin,0.9,,,,,ln_structured,1.83 GMac,11.69 M,16.149099667867027,572.890625,1.83 GMac,11.69 M,12.884529431660969,572.953125
resnet18,builtin,0.9,,,,,ln_structured,1.83 GMac,11.69 M,16.746226946512856,574.953125,1.83 GMac,11.69 M,14.001862208048502,590.625
resnet18,builtin,0.9,,,,,ln_structured,1.83 GMac,11.69 M,16.403865814208984,546.234375,1.83 GMac,11.69 M,14.209365844726562,546.453125
resnet18,builtin,0.9,,,,,l1_unstructured,1.83 GMac,11.69 M,16.928768157958984,565.234375,1.83 GMac,11.69 M,13.266229629516602,565.5
resnet18,builtin,0.9,,,,,l1_unstructured,1.83 GMac,11.69 M,16.523035367329914,612.953125,1.83 GMac,11.69 M,15.402634938557943,613.703125
resnet18,builtin,0.9,,,,,l1_unstructured,1.83 GMac,11.69 M,18.618138631184895,561.453125,1.83 GMac,11.69 M,13.578669230143229,557.15625
mobilenet_v2,builtin,0.9,,,,,l1_unstructured,320.3 MMac,3.5 M,13.526399930318197,509.75,320.3 MMac,3.5 M,15.112829208374023,538.484375
mobilenet_v2,builtin,0.9,,,,,l1_unstructured,320.3 MMac,3.5 M,13.67482344309489,520.828125,320.3 MMac,3.5 M,13.469099998474121,544.859375
mobilenet_v2,builtin,0.9,,,,,l1_unstructured,320.3 MMac,3.5 M,13.304527600606281,535.359375,320.3 MMac,3.5 M,15.018463134765625,550.109375
mobilenet_v2,builtin,0.5,,,,,random_structured,320.3 MMac,3.5 M,13.732131322224934,473.5625,320.3 MMac,3.5 M,13.75885804494222,499.109375
mobilenet_v2,builtin,0.5,,,,,random_structured,320.3 MMac,3.5 M,13.289403915405273,486.0,320.3 MMac,3.5 M,11.689400672912598,514.421875
resnet18,builtin,0.1,,,,,l1_unstructured,1.83 GMac,11.69 M,17.808302243550617,590.96875,1.83 GMac,11.69 M,13.880125681559244,574.578125
resnet18,builtin,0.3,,,,,l1_unstructured,1.83 GMac,11.69 M,16.646337509155273,621.5625,1.83 GMac,11.69 M,13.177935282389324,621.625
resnet18,builtin,0.5,,,,,l1_unstructured,1.83 GMac,11.69 M,19.867698351542156,492.984375,1.83 GMac,11.69 M,22.832234700520832,485.921875
resnet18,builtin,0.7,,,,,l1_unstructured,1.83 GMac,11.69 M,16.652727127075195,585.765625,1.83 GMac,11.69 M,13.456066449483236,585.015625
resnet18,builtin,0.9,,,,,l1_unstructured,1.83 GMac,11.69 M,16.5009339650472,610.53125,1.83 GMac,11.69 M,13.57426643371582,624.484375
resnet18,builtin,0.1,,,,,ln_structured,1.83 GMac,11.69 M,16.436266899108887,577.421875,1.83 GMac,11.69 M,13.452998797098795,577.484375
resnet18,builtin,0.3,,,,,ln_structured,1.83 GMac,11.69 M,16.664036115010582,588.8125,1.83 GMac,11.69 M,15.78526496887207,595.84375
resnet18,builtin,0.5,,,,,ln_structured,1.83 GMac,11.69 M,16.017436981201172,548.0,1.83 GMac,11.69 M,12.778997421264648,548.171875
resnet18,builtin,0.7,,,,,ln_structured,1.83 GMac,11.69 M,16.492064793904625,570.296875,1.83 GMac,11.69 M,13.593331972757975,570.375
resnet18,builtin,0.9,,,,,ln_structured,1.83 GMac,11.69 M,16.313505172729492,582.890625,1.83 GMac,11.69 M,13.56198787689209,583.953125
resnet18,builtin,0.1,,,,,random_structured,1.83 GMac,11.69 M,16.318527857462566,544.953125,1.83 GMac,11.69 M,12.415337562561035,544.953125
resnet18,builtin,0.3,,,,,random_structured,1.83 GMac,11.69 M,16.318599383036297,573.421875,1.83 GMac,11.69 M,13.551266988118488,573.59375
resnet18,builtin,0.5,,,,,random_structured,1.83 GMac,11.69 M,16.515723864237465,564.859375,1.83 GMac,11.69 M,12.900598843892416,564.90625
resnet18,builtin,0.7,,,,,random_structured,1.83 GMac,11.69 M,35.47743956247965,382.96875,1.83 GMac,11.69 M,17.74142583211263,357.15625
