model,method,mode,compression,state,flops,params,pytorch_latency,pytorch_ram,pytorch_accuracy,onnx_accuracy,onnx_latency,onnx_ram
mobilenet_v2,builtin,l1_unstructured,0.1,baseline,0.320300008,3.504872,12.76,432.42,99.0,99.0,9.55,1.94
mobilenet_v2,builtin,l1_unstructured,0.1,pruned,0.320300008,3.504872,13.09,459.78,99.0,99.0,9.36,1.95
mobilenet_v2,builtin,l1_unstructured,0.3,baseline,0.320300008,3.504872,14.46,462.02,99.0,99.0,9.42,1.98
mobilenet_v2,builtin,l1_unstructured,0.3,pruned,0.320300008,3.504872,13.39,484.81,77.0,77.0,9.44,1.97
mobilenet_v2,builtin,l1_unstructured,0.5,baseline,0.320300008,3.504872,16.67,390.05,99.0,99.0,9.34,2.2
mobilenet_v2,builtin,l1_unstructured,0.5,pruned,0.320300008,3.504872,22.45,381.23,0.0,0.0,9.5,1.97
mobilenet_v2,builtin,l1_unstructured,0.7,baseline,0.320300008,3.504872,14.13,445.75,99.0,99.0,9.55,2.11
mobilenet_v2,builtin,l1_unstructured,0.7,pruned,0.320300008,3.504872,13.49,482.8,0.0,0.0,9.37,1.97
mobilenet_v2,builtin,l1_unstructured,0.9,baseline,0.320300008,3.504872,13.56,457.31,99.0,99.0,9.4,2.11
mobilenet_v2,builtin,l1_unstructured,0.9,pruned,0.320300008,3.504872,14.88,486.95,0.0,0.0,9.32,1.94
mobilenet_v2,builtin,ln_structured,0.1,baseline,0.320300008,3.504872,14.02,443.92,99.0,99.0,9.32,2.05
mobilenet_v2,builtin,ln_structured,0.1,pruned,0.320300008,3.504872,14.17,448.22,1.0,1.0,9.44,1.95
mobilenet_v2,builtin,ln_structured,0.3,baseline,0.320300008,3.504872,16.36,469.16,99.0,99.0,9.45,1.97
mobilenet_v2,builtin,ln_structured,0.3,pruned,0.320300008,3.504872,16.98,362.44,0.0,0.0,9.39,1.95
mobilenet_v2,builtin,ln_structured,0.5,baseline,0.320300008,3.504872,13.6,433.77,99.0,99.0,9.5,1.97
mobilenet_v2,builtin,ln_structured,0.5,pruned,0.320300008,3.504872,13.63,445.19,0.0,0.0,9.49,2.17
mobilenet_v2,builtin,ln_structured,0.7,baseline,0.320300008,3.504872,14.4,473.86,99.0,99.0,9.33,1.94
mobilenet_v2,builtin,ln_structured,0.7,pruned,0.320300008,3.504872,12.53,433.42,0.0,0.0,17.89,2.0
mobilenet_v2,builtin,ln_structured,0.9,baseline,0.320300008,3.504872,15.9,409.2,99.0,99.0,10.93,1.97
mobilenet_v2,builtin,ln_structured,0.9,pruned,0.320300008,3.504872,14.27,454.16,0.0,0.0,12.07,2.02
mobilenet_v2,builtin,random_structured,0.1,baseline,0.320300008,3.504872,17.53,384.12,99.0,99.0,9.44,1.94
mobilenet_v2,builtin,random_structured,0.1,pruned,0.320300008,3.504872,14.64,442.27,0.0,0.0,9.58,2.19
mobilenet_v2,builtin,random_structured,0.3,baseline,0.320300008,3.504872,22.07,361.67,99.0,99.0,11.96,1.98
mobilenet_v2,builtin,random_structured,0.3,pruned,0.320300008,3.504872,16.62,331.11,0.0,0.0,19.67,2.31
mobilenet_v2,builtin,random_structured,0.5,baseline,0.320300008,3.504872,21.06,349.17,99.0,99.0,9.42,1.97
mobilenet_v2,builtin,random_structured,0.5,pruned,0.320300008,3.504872,18.75,375.14,0.0,0.0,9.43,1.95
mobilenet_v2,builtin,random_structured,0.7,baseline,0.320300008,3.504872,16.01,382.08,99.0,99.0,9.5,2.11
mobilenet_v2,builtin,random_structured,0.7,pruned,0.320300008,3.504872,17.31,437.47,0.0,0.0,9.36,1.95
mobilenet_v2,builtin,random_structured,0.9,baseline,0.320300008,3.504872,15.28,456.78,99.0,99.0,9.34,2.23
mobilenet_v2,builtin,random_structured,0.9,pruned,0.320300008,3.504872,27.97,285.03,0.0,0.0,9.29,2.09
